Account,Sentiment,Total_Trades,Total_Volume_USD,Total_PnL,Avg_Trade_Size,Win_Rate,Avg_Fear_Greed_Value,Cluster
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,190,643594.44,20925.513222,3387.3391578947367,0.5526315789473685,76.93684210526315,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,123,293743.3,8129.340658999999,2388.156910569105,0.3495934959349593,38.91869918699187,3
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,170,423422.33,38168.35486,2490.7195882352944,0.4470588235294118,63.51176470588236,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,17,38053.98,0.0,2238.469411764705,0.0,23.0,3
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,5,8647.35,15.24474,1729.47,0.2,79.0,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,455,3438057.09,14542.702934,7556.169428571428,0.3274725274725275,33.40879120879121,3
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,5,9082.85,43.2005,1816.57,0.4,71.4,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,52,954481.99,7157.6835790000005,18355.422884615386,0.3846153846153846,46.13461538461539,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,739,1240856.41,9544.906134,1679.1020433017593,0.3112313937753721,20.959404600811908,3
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643,5161529.02,1105304.859175,3141.527096774193,0.5100426049908704,79.16859403530128,2
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,3005,4792042.529999999,93165.161357,1594.689693843594,0.3271214642262895,32.58935108153078,3
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5889,36284991.08,534058.2363300001,6161.486004415011,0.2732212599762268,66.66496858549839,2
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457,9064146.19,401309.434693,2621.9688140005787,0.3780734741105004,48.7413942724906,2
